Designator,Mid X,Mid Y,Layer,Rotation
J2,8.4,-4.8,bottom,270
C7,32.4,-45.45,top,270
C33,4.5,-35.5,top,270
C34,33.71,-35.5,top,270
D7,1.1,-33.5,top,90
D8,1.1,-42.9,top,90
J3,74,-28,top,90
R3,1.1,-36.05,top,270
R4,1.1,-45.5,top,270
R111,8.31,-45.5,top,270
R112,10.85,-45.5,top,270
R113,13.35,-45.5,top,270
R114,15.89,-45.5,top,270
R115,18.43,-45.5,top,270
R116,20.97,-45.5,top,270
R117,23.51,-45.5,top,270
R118,26.05,-45.5,top,270
R121,8.27,-47.5,top,270
R122,10.81,-47.5,top,270
R123,13.35,-47.5,top,270
R124,15.89,-47.5,top,270
R125,18.43,-47.5,top,270
R126,20.97,-47.5,top,270
R127,23.51,-47.5,top,270
R128,26.05,-47.515,top,270
R211,37.48,-45.5,top,270
R212,40.02,-45.5,top,270
R213,42.56,-45.5,top,270
R214,45.1,-45.5,top,270
R215,47.64,-45.5,top,270
R216,50.18,-45.5,top,270
R217,52.72,-45.5,top,270
R218,55.26,-45.5,top,270
R221,37.48,-47.5,top,270
R222,40.02,-47.5,top,270
R223,42.56,-47.5,top,270
R224,45.1,-47.5,top,270
R225,47.64,-47.5,top,270
R226,50.18,-47.5,top,270
R227,52.72,-47.5,top,270
R228,55.26,-47.515,top,270
U6,7,-42.5,top,90
U7,36.21,-42.5,top,90
